header,category,location,title,description,website_url,image_name,youtube_url
"나,",어르신,,어르신 버스 무료 교통카드 제공,,,./img/card/101.jpg,
"나,",어르신,,신바람나는 경로당,,,./img/card/102.jpg,
"나,",어르신,,독거노인 등 어르신 월10~20만원 지급,,,,
"나,",어르신,,어르신 소득형 일자리 확대,,,,
우리의,산업,,동해삼척 현대로템 유치 및 수소도시화,,,,
우리의,산업,,원전해제부지 활용 관광레저형 기업도시화,,,,
우리의,교육,,강원대 삼척캠퍼스 수소인재 육성기지화,,,,
우리의,산업,,"강원대 삼척캠퍼스 재난방재, 폐광 R&D 지원",,,,
우리의,철도,,원주 트램 도입 도시청도망 계획 수립,,,,
우리의,철도,,춘천-속초 동서고속화 철도 조기완공,,,,
우리의,철도,,원주-철원 강원내력순 철도 건설,,,,
우리의,철도,,강릉-동해-삼척 철도 고소화 조기착공,,,,
우리의,철도,,제진-삼척 철도 선형개량 고속화,,,,
"나,",소상공인,,"플랫폼 내 홍보비, 수수료 줄이기",,,,
우리의,교육,,기업과 연계에 대학 계약학과 신설,,,,
우리의,스포츠,,강릉 야구 시민구단 지원,,,,
우리의,스포츠,,바다가 보이는 야구장 건설,,,,
우리의,농업,,식자재 유통센터 설립,,,,
우리의,군대,,군 장병 휴가 및 외박 시 쿠폰 택시 지원,,,,
우리의,군대,,강원도 청년 입대 시 상해보험,,,,
우리의,산업,,국방산업단지 및 국방벤처센터로 미래산업화,,,,
우리의,군대,,강원대 열린군대 사업 전면 확대,,,,
우리의,군대,,폴리텍대학 연계 전직교육 실시 및 국방전직교육원 설립,,,,
우리의,군대,,군인 가족지원센터로 인생설계 지원,,,,
우리의,산업,,한국국방연구원 유치,,,,
